Stations,StationName,Ridership
12th St.,12th Street / Oakland City Center,"13,845"
16th,16th Street Mission,"12,685"
19th,19th Street Oakland,"13,249"
24th,24th Street Mission,"11,665"
Ashby,Ashby,"5,344"
Balboa Park,Balboa Park,"10,415"
Bay Fair,Bay Fair,"5,744"
Berkeley,Berkeley,"13,168"
Castro Valley,Castro Valley,"2,854"
Civic,Civic Center,"23,876"
Coliseum,Coliseum,"7,471"
Colma,Colma,"4,326"
Concord,Concord,"6,065"
Daly City,Daly City,"5,792"
Dublin/Pleas,Dublin/Pleasanton,"8,110"
EC Del Norte,El Cerrito del Norte,"8,877"
EC Plaza,El Cerrito Plaza,"5,066"
Embarcadero,Embarcadero,"49,053"
Fremont,Fremont,"7,409"
Fruitvale,Fruitvale,"8,483"
Glen Park,Glen Park,"7,289"
Hayward,Hayward,"5,153"
Lafayette,Lafayette,"3,691"
Lake Merritt,Lake Merritt,"6,991"
MacArthur,MacArthur,"9,277"
Millbrae,Millbrae,"6,216"
Montgomery,Montgomery Street,"41,939"
N. Berkeley,North Berkeley,"4,577"
N. Concord,North Concord/Martinez,"2,736"
Oakland Airpt,Oakland International Airport,"1,503"
Orinda,Orinda,"2,967"
Pittsburg/BP,Pittsburg/Bay Point,"6,410"
Pleasant Hill,Pleasant Hill/Contra Costa Centre,"7,501"
Powell,Powell Street,"27,292"
Richmond,Richmond,"4,222"
Rockridge,Rockridge,"5,844"
S. Hayward,S. Hayward,"2,930"
San Bruno,San Bruno,"3,741"
San Leandro,San Leandro,"6,248"
South SF,South San Francisco,"3,596"
Union City,Union City,"4,932"
W. Oakland,W. Oakland,"7,227"
Walnut Creek,Walnut Creek,"6,934"
Warm Springs,Warm Springs,"2,513"
West D/P,West Dublin/Pleasanton,"3,623"
